"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_cfgvehicles_land_horticulture_plant_pepper0","Pepper Plant","Pepper Plant","Rostlina papriky","Paprikapflanze","Куст перца","Papryka","Pepper Plant","Pianta di peperoni","Planta del pimiento","Plant de poivrons","甜椒苗","パプリカの苗木","Planta de pimentão","青椒植株",
"str_cfgvehicles_land_horticulture_plant_pepper1","Short pepper plant. Preferably harvested when the peppers are ripe.","Short pepper plant. Preferably harvested when the peppers are ripe.","Malá rostlina papriky. Nejlepší bude ji sklidit, až papriky dozrají.","Kleine Paprikapflanze. Erst ernten, wenn die Paprikas reif sind.","Меленький куст перца. Перцы лучше срывать, когда они созрели.","Niski krzak papryki. Jej owoce najlepiej zbierać, dopiero gdy dojrzeją.","Short pepper plant. Preferably harvested when the peppers are ripe.","Pianta di peperoni bassa. È preferibile raccogliere i peperoni quando sono maturi.","Una planta del pimiento baja. Lo ideal es cosecharla cuando los pimientos están maduros.","Un petit plant de poivrons. Cueillez-les lorsqu'ils sont mûrs.","低矮的甜椒苗。等甜椒成熟時再採收會比較好。","背の低いパプリカの苗木。パプリカが熟れた時に収穫するのがベスト。","Planta baixa de pimentão. Colhida de preferência quando os pimentões estão maduros.","低矮的青椒植株。最好在青椒成熟时收割。",
"str_cfgvehicles_land_horticulture_plant_potato0","Potato Plant","Potato Plant","Rostlina brambory","Kartoffelpflanze","Куст картофеля","Ziemniak","Potato Plant","Pianta di patate","Planta de la patata","Plant de pommes de terre","番茄苗","じゃがいもの苗木","Planta de batata","土豆植株",
"str_cfgvehicles_land_horticulture_plant_potato1","Bushy potato plant. Preferably harvested when the potatoes are ripe.","Bushy potato plant. Preferably harvested when the potatoes are ripe.","Hustá rostlina brambory. Nejlepší bude ji sklidit, až brambory dozrají.","Buschige Kartoffelpflanze. Erst ernten, wenn die Kartoffeln reif sind.","Пышный картофельный куст. Картошку лучше выкапывать, когда она созрела.","Krzaczasty ziemniak. Jego owoce najlepiej zbierać, dopiero gdy dojrzeją.","Bushy potato plant. Preferably harvested when the potatoes are ripe.","Folta pianta di patate. È preferibile raccogliere le patate quando sono mature.","Una planta de la patata. Lo ideal es cosecharla cuando las patatas están maduras.","Un plant touffu de pommes de terre. Cueillez-les lorsqu'elles sont mûres.","茂密的馬鈴薯苗。等馬鈴薯成熟時再採收會比較好。","ふさふさしたじゃがいもの苗木。じゃがいもが熟れた時に収穫するのがベスト。","Planta densa de batata. Colhida de preferência quando as batatas estão maduras.","茂密的土豆植株。最好在土豆成熟时收割。",
"str_cfgvehicles_land_horticulture_polytunnel0","Polytunnel","Polytunnel","Tunelový skleník","Folientunnel","Пленочная теплица","Tunel foliowy","Polytunnel","Serra in polietilene","Invernadero","Serre tunnel","塑膠棚溫室","ビニールハウス","Estufa de túnel","塑料大棚",
"str_cfgvehicles_land_horticulture_polytunnel1","A tunnel greenhouse covered with plastic foil. Has quality soil ready for cultivation.","A tunnel greenhouse covered with plastic foil. Has quality soil ready for cultivation.","Tunelový skleník pokrytý plastovou fólií. Nachází se v něm půda připravená na kultivaci.","Ein mit Plastikfolie bedecktes Tunnel-Gewächshaus inklusive hochwertiger Blumenerde.","Туннельная теплица, покрытая пластиковой пленкой. Идет в комплекте с качественной почвой, готовой для выращивания.","Tunel obłożony folią plastikową. W środku znajduje się żyzna, gotowa do uprawy ziemia.","A tunnel greenhouse covered with plastic foil. Has quality soil ready for cultivation.","Una serra a tunnel con rivestimento in plastica. È caratterizzata da terreno di qualità pronto ad essere coltivato.","Un invernadero cubierto con plásticos.La tierra del suelo es de calidad, apta para el cultivo.","Une serre tunnel recouverte d'un film transparent solide. Cette terre de qualité est prête pour la culture.","隧道型的溫室，覆著塑膠外罩。土壤肥沃，隨時可以種植。","トンネル型の温室で、ビニールで覆われている。耕作のための上質な土がある。","Uma estufa de túnel coberta com uma lona de plástico. Seu solo é de qualidade, pronto para cultivo.","盖着塑料薄膜的单栋温室。有可供耕作的优质土壤。",
"str_cfgvehicles_land_horticulture_plant_pumpkin0","Pumpkin Plant","Pumpkin Plant","Rostlina dýně","Kürbispflanze","Куст тыквы","Dynia","Pumpkin Plant","Pianta di zucca","Planta de la calabaza","Plant de potiron","南瓜苗","パンプキンの苗木","Planta de abóbora","南瓜植株",
"str_cfgvehicles_land_horticulture_plant_pumpkin1","Sprawling pumpkin plant. Preferably harvested when the pumpkins are ripe.","Sprawling pumpkin plant. Preferably harvested when the pumpkins are ripe.","Rostoucí rostlina dýně. Nejlepší bude ji sklidit, až dýně dozraje.","Wuchernde Kürbispflanze. Erst ernten, wenn die Kürbisse reif sind.","Раскидистый куст тыквы. Тыкву лучше собирать, когда она созрела.","Bujne kłącza dyni. Jej owoce najlepiej zbierać, dopiero gdy dojrzeją.","Sprawling pumpkin plant. Preferably harvested when the pumpkins are ripe.","Pianta di zucca in espansione. È preferibile raccogliere le zucche quando sono mature.","Una planta de la calabaza. Lo ideal es cosecharla cuando las calabazas están maduras.","Un plant de potiron qui a déjà bien pris ses aises. Cueillez ses fruits lorsqu'ils sont mûrs.","蔓生的南瓜苗。等南瓜成熟時再採收會比較好。","乱雑に広がるパンプキンの苗木。パンプキンが熟れた時に収穫するのがベスト。","Planta espalhada de abóbora. Colhida de preferência quando as abóboras estão maduras.","肆意蔓延的南瓜植株。最好在南瓜成熟时收割。",
"str_cfgvehicles_land_horticulture_plant_tomato0","Tomato Plant","Tomato Plant","Rostlina rajčete","Tomatenpflanze","Куст помидор","Pomidor","Tomato Plant","Pianta di pomodori","Tomatera","Plant de tomates","番茄苗","トマトの苗木","Planta de tomate","西红柿植株",
"str_cfgvehicles_land_horticulture_plant_tomato1","Tall tomato plant, preferably harvested when the tomatoes are ripe.","Tall tomato plant, preferably harvested when the tomatoes are ripe.","Dlouhá rostlina rajčete. Nejlepší bude ji sklidit, až rajčata dozrají.","Hohe Tomatenpflanze. Erst ernten, wenn die Tomaten reif sind.","Помидоры лучше собирать, когда они созрели.","Wysoki krzak pomidora. Jego owoce najlepiej zbierać, dopiero gdy dojrzeją.","Tall tomato plant, preferably harvested when the tomatoes are ripe.","Pianta di pomodori alta. È preferibile raccogliere i pomodori quando sono maturi.","Planta del tomate alta. Lo ideal es cosecharla cuando los tomates están maduros.","Un grand plant de tomates. Cueillez-les lorsqu'elles sont mûres.","長得很高的番茄苗，等番茄成熟時再採收會比較好。","背の高いトマトの苗木。トマトが熟れた時に収穫するのがベスト。","Planta alta de tomate. Colhida de preferência quando os tomates estão maduros.","高大的西红柿植株。最好在西红柿成熟时收割。",
"str_cfgvehicles_land_horticulture_plant_zucchini0","Zucchini Plant","Zucchini Plant","Rostlina cukety","Zucchinipflanze","Куст кабачков","Cukinia","Zucchini Plant","Pianta di zucchine","Planta del calabacín","Plant de courgettes","筍瓜苗","ズッキーニの苗木","Planta de abobrinha","西葫芦植株",
"str_cfgvehicles_land_horticulture_plant_zucchini1","Low zucchini plant. Preferably harvested when the zucchinis are ripe.","Low zucchini plant. Preferably harvested when the zucchinis are ripe.","Nízká rostlina cukety. Nejlepší bude ji sklidit, až cuketa dozraje.","Niedrige Zucchinipflanze. Erst ernten, wenn die Zucchinis reif sind.","Невысокий куст кабачков. Кабачки лучше срывать, когда они созрели.","Płożące pędy cukinii. Jej owoce najlepiej zbierać, dopiero gdy dojrzeją.","Low zucchini plant. Preferably harvested when the zucchinis are ripe.","Pianta di zucchine bassa. È preferibile raccogliere le zucchine quando sono mature.","Planta del calabacín baja. Lo ideal es cosecharla cuando los calabacines están maduros.","Un petit plant de courgettes. Cueillez-les lorsqu'elles sont mûres.","低矮的筍瓜苗。等筍瓜成熟時再採收會比較好。","背の低いズッキーニの苗木。ズッキーニが熟れた時に収穫するのがベスト。","Planta baixa de abobrinha. Colhida de preferência quando as abobrinhas estão maduras.","低矮的西葫芦植株。最好在西葫芦成熟时收割。",
"str_cfgvehicles_windscreenbox1","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...",
"str_cfgvehicles_windscreenbox0","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box","$UNT$Windscreen Box",
"str_cfgvehicles_truckradiator1","Radiator that connects to the engine block. Used for cooling a truck engine with a coolant, typically water based.","Radiator that connects to the engine block. Used for cooling a truck engine with a coolant, typically water based.","Chladič, který se připojí k bloku motoru. Motor náklaďáku chladí kapalinou, většinou na vodní bázi.","LKW-Kühlsystem, das an den Motorblock angeschlossen wird. Kühlt den Motor mit einem Kühlmittel – üblicherweise Wasser.","Радиатор, соединяющийся с рубашкой охлаждения двигателя. Используется для охлаждения двигателя грузовика хладагентом, обычно на водной основе.","Chłodnica, która łączy się z blokiem silnika i chłodzi za pomocą płynu chłodniczego (zazwyczaj na bazie wody).","Radiator that connects to the engine block. Used for cooling a truck engine with a coolant, typically water based.","Radiatore da collegare al blocco motore, utilizzato per raffreddare il motore di un camion con un liquido refrigerante, solitamente a base di acqua.","Radiador que conecta con el motor. Se usa para enviar refrigerante al motor de la camioneta, generalmente agua.","Un radiateur relié au bloc moteur. Il fonctionne grâce à du liquide de refroidissement, qui peut être remplacé par de l'eau.","連接到引擎缸體的散熱器。用於冷卻裝有冷卻劑的卡車引擎，通常是水冷式的。","エンジンブロックと連結している放熱器。水性であることが多い冷却材でトラックのエンジンを冷ますのに使用できる。","Radiador que se conecta ao bloco do motor. Usado para resfriar o motor de um caminhão com um líquido refrigerador, normalmente à base de água.","连接到发动机组的散热器。通常可用水基冷却剂冷却卡车发动机。",
"str_cfgvehicles_truckradiator0","Truck Radiator","Truck Radiator","Chladič náklaďáku","LKW-Kühler","Радиатор грузовика","Chłodnica z ciężarówki","Truck Radiator","Radiatore per camion","Radiador de camioneta","Radiateur de camion","卡車散熱器","トラックの放熱器","Radiador de caminhão","卡车散热器",
"str_cfgvehicles_truckexhaust1","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...",
"str_cfgvehicles_truckexhaust0","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck","$UNT$Exhaust Truck",
"str_cfgvehicles_truckbattery1","12V rechargable truck battery has higher capacity then regular car battery. It can be used to power other appliances, if connected properly.","12V rechargable truck battery has higher capacity then regular car battery. It can be used to power other appliances, if connected properly.","12V dobíjecí automobilová baterie s větší kapacitou než běžná baterie do auta. Pokud se připojí správně, dá se použít k napájení dalších spotřebičů.","Aufladbare 12V-LKW-Batterie mit größerer Kapazität als gewöhnliche Autobatterien. Kann als Energiequelle für andere Geräte genutzt werden, wenn man sie richtig anschließt.","Перезаряжаемая аккумуляторная батарея на 12 В для грузовиков. Отличается от обычного автомобильного аккумулятора большей емкостью. Если правильно подключить, то ее можно использовать для питания других приборов.","Akumulator 12V z ciężarówki. Można go ładować i ma większą pojemność niż zwykły akumulator. Po odpowiednim podłączeniu może ładować inne urządzenia.","12V rechargable truck battery has higher capacity then regular car battery. It can be used to power other appliances, if connected properly.","Batteria ricaricabile da 12V che possiede una capacità maggiore rispetto ad una normale batteria di un’automobile. Se collegata adeguatamente, può essere utilizzata per alimentare altri dispositivi.","Batería de camioneta recargable de 12V, de mayor capacidad que la batería de coche normal. Si se conecta correctamente, se puede usar para alimentar otros aparatos electrónicos.","Une batterie de camion de 12 V. Plus puissante qu'une batterie de voiture, elle peut également alimenter différents appareils si elle est bien connectée.","12V 充電式卡車電池，容量比普通汽車電池更高。如果連接正確，還能供應其他設備所需的電力。","トラックの 12V 充電式バッテリーは通常の車のバッテリーよりも容量が大きい。きちんと接続していれば、他の電気機器にも電力を送ることができる。","A bateria recarregável de 12V de caminhão tem maior capacidade do que a bateria comum de carro. Ela pode ser usada para alimentar outros aparelhos, se conectada corretamente.","12 伏卡车充电电池的容量比普通汽车电池大。如果连接正确，它可以用来给其他电器供电。",
"str_cfgvehicles_truckbattery0","Truck Battery","Truck Battery","Baterie z náklaďáku","LKW-Batterie","Аккумулятор для грузовика","Akumulator z ciężarówki","Truck Battery","Batteria per camion","Batería de camioneta","Batterie de camion","卡車電池","トラックのバッテリー","Bateria de caminhão","卡车电池",
"str_cfgvehicles_tirerepairkit1","A plastic case, containing all the tools needed for fixing a car tire. Tire iron not included.","A plastic case, containing all the tools needed for fixing a car tire. Tire iron not included.","Plastová krabička se všemi nástroji potřebnými na opravu pneumatiky k autu. Klíč na kola není součástí.","Plastikkoffer mit allen nötigen Werkzeugen, um einen Reifen zu reparieren. Radmutternschlüssel nicht enthalten.","Пластиковый ящик, в котором хранятся все инструменты, необходимые для ремонта автомобильной шины. Монтировка не включена.","Plastikowe opakowanie ze wszystkimi rzeczami potrzebnymi do naprawy kapcia. Nie zawiera lewarka.","A plastic case, containing all the tools needed for fixing a car tire. Tire iron not included.","Una valigetta di plastica contenente tutto il necessario per riparare lo pneumatico di un’automobile. Chiave a pipa non inclusa.","Una caja de plástico que contiene todas las herramientas necesarias para arreglar una rueda. No incluye desmontador.","Une boîte en plastique contenant tout le nécessaire pour réparer un pneu. Le démonte-pneu n'est pas inclus.","塑膠外殼裝著維修輪胎所需的所有用具。不含卸胎器。","車のタイヤを修理するのに必要な道具が全て入っているプラスチック製のケース。タイヤレバーは含まれていない。","Uma caixa de plástico com todas as ferramentas necessárias para consertar um pneu de carro. Chave de roda não incluída.","一个塑料箱，里面装着修理汽车轮胎需要的所有工具。撬胎棒不包括在内。",
"str_cfgvehicles_tirerepairkit0","Tire Repair Kit","Tire Repair Kit","Sada na opravu pneumatiky","Reifen-Reparaturset","Набор для ремонта шин","Zestaw naprawczy","Tire Repair Kit","Kit di riparazione pneumatici","Kit de reparación de ruedas","Kit de réparation de pneu","輪胎維修工具組","タイヤ修理セット","Kit de conserto de pneus","轮胎维修包",
"str_cfgvehicles_sparkplug1","Locally produced spark plug. Used to deliver electric current to chambers of combustion engine.","Locally produced spark plug. Used to deliver electric current to chambers of combustion engine.","Lokálně vyrobená zapalovací svíčka do motoru. Používá se k přenosu elektrického proudu do komor zážehového motoru.","Lokal produzierte Zündkerze. Überträgt Strom an den Zylinderkopf und sorgt so für die Zündung bei Verbrennungsmotoren. ","Свеча зажигания местного производства. Используется для подачи электрического тока в камеры двигателя внутреннего сгорания.","Świeca lokalnej produkcji. Dostarcza prąd elektryczny do komory spalania silnika.","Locally produced spark plug. Used to deliver electric current to chambers of combustion engine.","Candela di accensione di produzione locale, utilizzata per fornire energia elettrica alle camere di combustione del motore.","Una bujía fabricada en la región. Se usa para enviar electricidad a las cámaras de combustión del motor.","Une bougie d'allumage permet d'enflammer le mélange gazeux de la chambre à combustion du moteur de votre véhicule.","在地生產的火星塞。把電流傳送到燃燒引擎去。","その地域で製造されたスパークプラグ。燃焼機関の内部に電流を送るために使用される。","Vela de ignição produzida localmente. Usada para fornecer corrente elétrica às câmaras do motor de combustão.","本地产火花塞。用于向内燃机燃烧室输送电流。",
"str_cfgvehicles_sparkplug0","Spark Plug","Spark Plug","Zapalovací svíčka","Zündkerze","Свеча зажигания","Świeca zapłonowa","Spark Plug","Candela di accensione","Bujía","Bougie d'allumage","火星塞","スパークプラグ","Vela de ignição","火花塞",
"str_cfgvehicles_headlighth7_box_useractions_stripbox1","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box",
"str_cfgvehicles_headlighth7_box_useractions_stripbox0","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box","$UNT$Empty Box",
"str_cfgvehicles_headlighth7_box1","A box containing H7 Headlight Bulb.","A box containing H7 Headlight Bulb.","Krabička s žárovkou H7 do reflektoru.","Ein Karton mit einer H7-Scheinwerferlampe.","Коробка с автомобильной лампой H7.","Pudełko z żarówkami H7.","A box containing H7 Headlight Bulb.","Una scatola contenente una lampadina H7 per fari anteriori.","Una caja que contiene una bombilla H7","Une boîte contenant une ampoule de phare H7.","盒內裝著 H7 車頭燈泡。","H7 ヘッドランプ用電球が入っている箱。","Uma caixa contendo a lâmpada de farol H7.","一个装有 H7 大灯灯泡的盒子。",
"str_cfgvehicles_headlighth7_box0","Boxed Headlight Bulb","Boxed Headlight Bulb","Krabička s žárovkou do reflektoru","Verpackte Scheinwerferlampe","Автомобильная лампа в коробке","Żarówki w pudełku","Boxed Headlight Bulb","Scatola con lampadina per fari","Caja con bombilla de faro","Ampoule de phare emballée","盒裝車頭燈泡","箱に入ったヘッドランプ用電球","Caixa de lâmpada de farol","盒装大灯灯泡",
"str_cfgvehicles_headlighth71","A standard H7 headlight bulb. Fits most cars and motorcycles.","A standard H7 headlight bulb. Fits most cars and motorcycles.","Klasická žárovka H7 do reflektoru. Pasuje do většiny aut a motorek.","Gewöhnliche H7-Scheinwerferlampe. Passt in die meisten Autos und Motorräder.","Стандартная автомобильная лампа H7. Подходит для большинства автомобилей и мотоциклов.","Standardowa żarówka H7. Pasuje do większości samochodów i motocykli.","A standard H7 headlight bulb. Fits most cars and motorcycles.","Una lampadina H7 standard per fari anteriori che può essere utilizzata sulla maggior parte delle automobili e delle motociclette.","Una bombilla de faro básica, modelo H7. Se puede usar en la mayoría de coches y motos.","Une ampoule de phare standard H7, pour voiture ou moto.","H7 標準車頭燈泡。適用於大多數的汽車與機車。","標準的な H7 ヘッドランプ用電球。大半の車とバイクに使える。","Uma lâmpada de farol H7 padrão. Serve para a maioria dos carros e motocicletas.","一个标准的 H7 大灯灯泡。适合大多数汽车和摩托车。",
"str_cfgvehicles_headlighth70","Headlight Bulb","Headlight Bulb","Žárovka do reflektoru","Scheinwerferlampe","Автомобильная лампа","Żarówki do lampy przedniej","Headlight Bulb","Lampadina per fari","Bombilla de faro","Ampoule de phare","車頭燈泡","ヘッドランプ用電球","Lâmpada de farol","大灯灯泡",
"str_cfgvehicles_glowplug1","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.","$UNT$A heating device used to aid starting engines.",
"str_cfgvehicles_glowplug0","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug","$UNT$Glow Plug",
"str_cfgvehicles_engineoil1","Engine oil derived from crude oil. Used to reduce friction and wear on moving parts of the engine.","Engine oil derived from crude oil. Used to reduce friction and wear on moving parts of the engine.","Motorový olej vyrobený ze surové ropy. Je určen k snížení tření a opotřebení pohyblivých součástek motoru.","Aus Rohöl hergestelltes Motoröl. Verringert die Reibung und den Verschleiß der beweglichen Motorteile.","Моторное масло, полученное из сырой нефти. Используется для уменьшения трения и износа движущихся частей двигателя.","Olej silnikowy otrzymany z ropy. Zmniejsza tarcie i zużycie ruchomych części silnika.","Engine oil derived from crude oil. Used to reduce friction and wear on moving parts of the engine.","Olio per motore derivato dal petrolio greggio, utilizzato per ridurre l’attrito e l’usura dei componenti mobili del motore.","Aceite de motor derivado de petróleo. Se usa para reducir la fricción y el desgaste en las piezas móviles del motor.","Une huile produite à partir de pétrole. Elle est indispensable pour atténuer la friction des pièces de moteur et en limiter l'usure.","從原油煉製的引擎油。用來減少摩擦，並降低引擎零件的磨耗。","原油から作られたエンジンオイル。エンジンの可動部の摩擦と損耗を減らすのに使用できる。","Óleo de motor derivado de petróleo bruto. Usado para reduzir o atrito e o desgaste das peças móveis do motor.","从原油中提炼的机油。用于减少发动机活动部件的摩擦和磨损。",
"str_cfgvehicles_engineoil0","Motor Oil","Motor Oil","Motorový olej","Motoröl","Моторное масло","Olej silnikowy","Motor Oil","Olio per motore","Aceite de motor","Huile de moteur","機車油","潤滑油","Óleo de motor","机油",
"str_cfgvehicles_enginebelt1","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...","$UNT$...",
"str_cfgvehicles_enginebelt0","$UNT$Belt","$UNT$Belt","$UNT$Belt","$UNT$Belt","$UNT$Belt","$UNT$Belt","$UNT$Belt","$UNT$Belt","$UNT$Belt","$UNT$Belt","$UNT$Belt","$UNT$Belt","$UNT$Belt","$UNT$Belt",
"str_cfgvehicles_carradiator1","Radiator that connects to the engine block. Used for cooling a car engine with a coolant, typically water based.","Radiator that connects to the engine block. Used for cooling a car engine with a coolant, typically water based.","Chladič, který se připojí k bloku motoru. Motor auta chladí kapalinou, většinou na vodní bázi.","Kühlelement, das an den Motorblock angeschlossen wird. Kühlt den Motor mit einem Kühlmittel – üblicherweise Wasser.","Радиатор, соединяющийся с рубашкой охлаждения двигателя. Используется для охлаждения двигателя автомобиля хладагентом, обычно на водной основе.","Chłodnica, która łączy się z blokiem silnika i chłodzi za pomocą płynu chłodniczego (zazwyczaj na bazie wody).","Radiator that connects to the engine block. Used for cooling a car engine with a coolant, typically water based.","Radiatore da collegare al blocco motore, utilizzato per raffreddare il motore di un’automobile con un liquido refrigerante, solitamente a base di acqua.","Radiador que conecta con el motor. Se usa para enviar refrigerante al motor, generalmente agua.","Un radiateur relié au bloc moteur. Il fonctionne grâce à du liquide de refroidissement, qui peut être remplacé par de l'eau.","連接到引擎缸體的散熱器。用於冷卻裝有冷卻劑的汽車引擎，通常是水冷式的。","エンジンブロックと連結している放熱器。水性であることが多い冷却材で車のエンジンを冷ますのに使用できる。","Radiador que se conecta ao bloco do motor. Usado para resfriar o motor de um carro com um líquido refrigerador, normalmente à base de água.","连接到发动机组的散热器。通常用水基冷却剂冷却汽车发动机。",
"str_cfgvehicles_carradiator0","Car Radiator","Car Radiator","Automobilový chladič","Autokühler","Автомобильный радиатор","Chłodnica samochodowa","Car Radiator","Radiatore per auto","Radiador de coche","Radiateur de voiture","汽車散熱器","車の放熱器","Radiador de carro","汽车散热器",
"str_cfgvehicles_carbattery1","12V rechargeable car battery, usable in cars. It can be used to power other appliances, if connected properly.","12V rechargeable car battery, usable in cars. It can be used to power other appliances, if connected properly.","12V nabíjecí autobaterie. Pokud se připojí správně, dá se použít k napájení dalších spotřebičů.","Aufladbare 12V-Autobatterie. Kann als Energiequelle für andere Geräte genutzt werden, wenn man sie richtig anschließt.","Перезаряжаемый автомобильный аккумулятор на 12 В. Используется в автомобилях. Если правильно подключить, то его можно использовать для питания других приборов.","Akumulator 12V z samochodu. Po odpowiednim podłączeniu może ładować inne urządzenia.","12V rechargeable car battery, usable in cars. It can be used to power other appliances, if connected properly.","Batteria ricaricabile da 12V utilizzabile sulle automobili. Se collegata adeguatamente, può essere utilizzata per alimentare altri dispositivi.","Batería de coche recargable de 12V. Si se conecta correctamente, se puede usar para alimentar otros aparatos electrónicos.","Une batterie voiture de 12 V rechargeable. Elle peut également alimenter différents appareils si elle est bien connectée.","12V 充電式汽車電池，適用於汽車。如果連接正確，還能供應其他設備所需的電力。","車に使用できる 12V 充電式バッテリー。きちんと接続していれば、他の電気機器にも電力を送ることができる。","Bateria recarregável de 12V, utilizável em automóveis. Ela pode ser usada para alimentar outros aparelhos, se conectada corretamente.","可在汽车中使用的 12 伏汽车充电电池。如果连接正确，它可以用来给其他电器供电。",
"str_cfgvehicles_carbattery0","Car Battery","Car Battery","Autobaterie","Autobatterie","Автомобильный аккумулятор","Akumulator samochodowy","Car Battery","Batteria per auto","Batería de coche","Batterie de voiture","汽車電池","車のバッテリー","Bateria de carro","汽车电池",
"str_cfgvehicles_canistergasoline1","A metal canister, useful for storing large volumes of gasoline or other liquids.","A metal canister, useful for storing large volumes of gasoline or other liquids.","Kovový kanystr vhodný k uskladnění velkého množství benzínu nebo jiných kapalin.","Metallkanister, in dem große Mengen Treibstoff oder andere Flüssigkeiten gelagert werden können.","Металлический контейнер, подходящий для хранения больших объемов бензина или других жидкостей.","Metalowy kanister przydatny do przechowywania dużych ilości benzyny albo innych płynów.","A metal canister, useful for storing large volumes of gasoline or other liquids.","Tanica di metallo, utile per conservare benzina e altri liquidi in grandi quantità.","Un contenedor metálico que se usa para almacenar grandes cantidades de gasolina o de otros líquidos.","Un bidon métallique, permettant de stocker une grande quantité d'essence ou d'autres liquides.","金屬罐子，用於儲存大量汽油或其他液體。","金属製のキャニスター。大量のガソリンや他の液体を保管するのに役立つ。","Um recipiente de metal, útil para armazenar grandes volumes de gasolina ou outros líquidos.","一种金属罐，可用来贮存大量汽油或其他液体。",
"str_cfgvehicles_canistergasoline0","Jerrycan","Jerrycan","Kanystr","Benzinkanister","Канистра","Kanister","Jerrycan","Tanica","Bidón de gasolina","Jerrican","方形油罐","ジェリー缶","Galão","油罐",
"str_cfgvehicles_brakefluid1","Filling for hydraulic brakes. Used to transfer force into pressure, and to amplify braking force.","Filling for hydraulic brakes. Used to transfer force into pressure, and to amplify braking force.","Náplň hydraulických brzd. Používá se k přeměně síly na tlak a k zvýšení brzdné síly.","Füllmittel für hydraulische Bremsen. Überträgt Kraft in Druck und verstärkt die Bremskraft.","Жидкость для гидравлических тормозов. Используется для преобразования усилия в давление и для усиления тормозной силы.","Płyn hamulcowy. Zamienia moc na nacisk, prowadząc do zatrzymania pojazdu.","Filling for hydraulic brakes. Used to transfer force into pressure, and to amplify braking force.","Liquido per freni idraulici utilizzato per convertire la forza in pressione ed amplificare la forza frenante.","Para usar con los frenos hidráulicos. Se usa para convertir la fuerza en presión y amplificar la frenada.","Du liquide pour système de freinage hydraulique. Transforme la force du maître-cylindre en pression pour actionner les plaquettes de frein.","裝著液狀的剎車油。將力傳導為壓力，並加強剎車力。","液圧ブレーキの中身。エネルギーを圧力に変換し、制動力を増大させるのに使用できる。","Fluído de freios hidráulicos. Usados para transferir força em forma de pressão e amplificar a força de frenagem.","液压制动器的填料。用于将力转化为压力，并将制动力放大。",
"str_cfgvehicles_brakefluid0","Brake Fluid","Brake Fluid","Brzdová kapalina","Bremsflüssigkeit","Тормозная жидкость","Płyn hamulcowy","Brake Fluid","Fluido freni","Líquido de frenos","Liquide de frein","剎車油","ブレーキ液","Fluido de freio","制动液",
